match_id,date,team,opponent,side,source,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg,corners
2022_11_28_Brazil_vs_Switzerland,2022-11-28,Switzerland,Brazil,away,fotmob,0,1,46,6,0,482,84,0,0,4,17,41,0.3,3
2022_11_28_Brazil_vs_Switzerland,2022-11-28,Brazil,Switzerland,home,whoscored,1,0,54,13,10,601,85,2,2,4,10,56,,
2022_11_28_Brazil_vs_Switzerland,2022-11-28,Switzerland,Brazil,away,whoscored,0,1,46,6,4,516,82,0,0,9,17,44,,
2022_11_28_Cameroon_vs_Serbia,2022-11-28,Cameroon,Serbia,home,fotmob,3,3,41,13,8,340,72,3,0,2,8,52,2.29,4
2022_11_28_Cameroon_vs_Serbia,2022-11-28,Serbia,Cameroon,away,fotmob,3,3,59,15,5,503,81,4,2,5,13,48,1.88,3
2022_11_28_Cameroon_vs_Serbia,2022-11-28,Cameroon,Serbia,home,whoscored,3,3,41,13,11,390,69,3,0,4,8,52,,
2022_11_28_Cameroon_vs_Serbia,2022-11-28,Serbia,Cameroon,away,whoscored,3,3,59,15,7,552,79,4,2,7,13,48,,
2022_11_28_Portugal_vs_Uruguay,2022-11-28,Portugal,Uruguay,home,fotmob,2,0,60,15,3,603,83,1,0,3,10,58,1.33,6
2022_11_28_Portugal_vs_Uruguay,2022-11-28,Uruguay,Portugal,away,fotmob,0,2,40,11,3,403,73,2,2,1,16,42,1.27,2
2022_11_28_Portugal_vs_Uruguay,2022-11-28,Portugal,Uruguay,home,whoscored,2,0,59,15,9,640,82,1,0,4,10,56,,
2022_11_28_Portugal_vs_Uruguay,2022-11-28,Uruguay,Portugal,away,whoscored,0,2,41,11,5,438,72,2,2,5,16,44,,
2022_11_28_South_Korea_vs_Ghana,2022-11-28,South Korea,Ghana,home,fotmob,2,3,63,22,7,528,86,3,1,0,13,47,1.8,12
2022_11_28_South_Korea_vs_Ghana,2022-11-28,Ghana,South Korea,away,fotmob,3,2,37,7,3,320,79,2,0,4,9,53,1.68,5
2022_11_28_South_Korea_vs_Ghana,2022-11-28,South Korea,Ghana,home,whoscored,2,3,63,22,17,600,82,3,1,0,13,47,,
2022_11_28_South_Korea_vs_Ghana,2022-11-28,Ghana,South Korea,away,whoscored,3,2,37,7,3,350,77,2,0,14,9,53,,
2022_11_29_Ecuador_vs_Senegal,2022-11-29,Ecuador,Senegal,home,fotmob,1,2,61,9,4,434,77,1,0,1,23,44,0.93,3
2022_11_29_Ecuador_vs_Senegal,2022-11-29,Senegal,Ecuador,away,fotmob,2,1,39,14,3,267,68,3,1,3,11,56,2.14,6
2022_11_29_Ecuador_vs_Senegal,2022-11-29,Ecuador,Senegal,home,whoscored,1,2,61,9,6,482,76,1,0,5,23,53,,
2022_11_29_Ecuador_vs_Senegal,2022-11-29,Senegal,Ecuador,away,whoscored,2,1,39,14,7,309,66,3,1,5,11,47,,
2022_11_29_Iran_vs_USA,2022-11-29,Iran,USA,home,fotmob,0,1,49,4,1,466,77,1,1,4,14,49,0.42,1
2022_11_29_Iran_vs_USA,2022-11-29,USA,Iran,away,fotmob,1,0,51,12,5,474,84,2,1,0,10,51,1.18,5
2022_11_29_Iran_vs_USA,2022-11-29,Iran,USA,home,whoscored,0,1,49,4,1,506,76,1,1,7,14,46,,
2022_11_29_Iran_vs_USA,2022-11-29,USA,Iran,away,whoscored,1,0,51,12,8,523,80,2,1,1,10,54,,
2022_11_29_Netherlands_vs_Qatar,2022-11-29,Netherlands,Qatar,home,fotmob,2,0,63,13,4,783,92,2,1,3,19,47,1.61,4
2022_11_29_Netherlands_vs_Qatar,2022-11-29,Qatar,Netherlands,away,fotmob,0,2,37,5,3,452,82,0,0,2,9,53,0.14,2
2022_11_29_Netherlands_vs_Qatar,2022-11-29,Netherlands,Qatar,home,whoscored,2,0,63,13,7,809,91,2,1,3,19,50,,
2022_11_29_Netherlands_vs_Qatar,2022-11-29,Qatar,Netherlands,away,whoscored,0,2,37,5,3,481,81,0,0,4,9,50,,
2022_11_29_Wales_vs_England,2022-11-29,Wales,England,home,fotmob,0,3,35,7,1,329,78,0,0,4,16,43,0.35,1
2022_11_29_Wales_vs_England,2022-11-29,England,Wales,away,fotmob,3,0,65,18,7,594,88,4,3,1,9,57,2.46,6
2022_11_29_Wales_vs_England,2022-11-29,Wales,England,home,whoscored,0,3,36,7,4,351,77,0,0,9,16,39,,
2022_11_29_Wales_vs_England,2022-11-29,England,Wales,away,whoscored,3,0,64,18,12,625,87,4,3,4,9,61,,
2022_11_30_Australia_vs_Denmark,2022-11-30,Australia,Denmark,home,fotmob,1,0,31,8,4,304,64,0,0,3,11,56,0.59,2
2022_11_30_Australia_vs_Denmark,2022-11-30,Denmark,Australia,away,fotmob,0,1,69,13,3,664,83,0,0,3,10,44,0.65,6
2022_11_30_Australia_vs_Denmark,2022-11-30,Australia,Denmark,home,whoscored,1,0,33,8,6,347,62,0,0,8,11,55,,
2022_11_30_Australia_vs_Denmark,2022-11-30,Denmark,Australia,away,whoscored,0,1,67,13,8,720,81,0,0,4,10,45,,
2022_11_30_Poland_vs_Argentina,2022-11-30,Poland,Argentina,home,fotmob,0,2,27,4,0,317,77,0,0,9,6,49,0.32,1
2022_11_30_Poland_vs_Argentina,2022-11-30,Argentina,Poland,away,fotmob,2,0,73,23,12,868,92,6,6,0,11,51,3.69,9
2022_11_30_Poland_vs_Argentina,2022-11-30,Poland,Argentina,home,whoscored,0,2,27,4,2,341,77,0,0,13,6,34,,
2022_11_30_Poland_vs_Argentina,2022-11-30,Argentina,Poland,away,whoscored,2,0,73,23,16,910,91,6,6,2,11,66,,
2022_11_30_Saudi_Arabia_vs_Mexico,2022-11-30,Saudi Arabia,Mexico,home,fotmob,1,2,39,10,2,287,58,1,0,8,20,45,1.11,1
2022_11_30_Saudi_Arabia_vs_Mexico,2022-11-30,Mexico,Saudi Arabia,away,fotmob,2,1,61,26,11,426,75,4,3,1,18,55,2.3,8
2022_11_30_Saudi_Arabia_vs_Mexico,2022-11-30,Saudi Arabia,Mexico,home,whoscored,1,2,40,10,3,327,59,1,0,17,20,45,,
2022_11_30_Saudi_Arabia_vs_Mexico,2022-11-30,Mexico,Saudi Arabia,away,whoscored,2,1,60,26,19,488,73,4,3,2,18,55,,
2022_11_30_Tunisia_vs_France,2022-11-30,Tunisia,France,home,fotmob,1,0,34,5,3,312,78,0,0,3,14,36,0.46,7
2022_11_30_Tunisia_vs_France,2022-11-30,France,Tunisia,away,fotmob,0,1,66,10,3,621,86,0,0,2,6,64,0.76,8
2022_11_30_Tunisia_vs_France,2022-11-30,Tunisia,France,home,whoscored,1,0,35,5,3,365,75,0,0,7,14,41,,
2022_11_30_Tunisia_vs_France,2022-11-30,France,Tunisia,away,whoscored,0,1,65,10,7,673,85,0,0,2,6,59,,
2022_12_01_Canada_vs_Morocco,2022-12-01,Canada,Morocco,home,fotmob,1,2,59,5,0,524,86,1,1,0,14,49,1.35,6
2022_12_01_Canada_vs_Morocco,2022-12-01,Morocco,Canada,away,fotmob,2,1,41,6,2,373,79,1,0,0,14,51,0.53,2
2022_12_01_Canada_vs_Morocco,2022-12-01,Canada,Morocco,home,whoscored,1,2,59,5,1,569,84,1,1,2,14,50,,
2022_12_01_Canada_vs_Morocco,2022-12-01,Morocco,Canada,away,whoscored,2,1,41,7,5,403,77,1,0,1,14,50,,
2022_12_01_Costa_Rica_vs_Germany,2022-12-01,Costa Rica,Germany,home,fotmob,2,4,32,8,6,337,75,3,2,7,3,56,1.33,1
2022_12_01_Costa_Rica_vs_Germany,2022-12-01,Germany,Costa Rica,away,fotmob,4,2,68,32,11,713,89,10,6,4,9,44,5.77,14
2022_12_01_Costa_Rica_vs_Germany,2022-12-01,Costa Rica,Germany,home,whoscored,2,4,32,8,7,368,74,3,2,13,3,51,,
2022_12_01_Costa_Rica_vs_Germany,2022-12-01,Germany,Costa Rica,away,whoscored,4,2,68,32,17,770,87,10,6,5,9,49,,
2022_12_01_Croatia_vs_Belgium,2022-12-01,Croatia,Belgium,home,fotmob,0,0,48,11,4,554,85,0,0,3,7,45,0.7,2
2022_12_01_Croatia_vs_Belgium,2022-12-01,Belgium,Croatia,away,fotmob,0,0,52,16,3,593,88,5,5,4,9,55,3.07,4
2022_12_01_Croatia_vs_Belgium,2022-12-01,Croatia,Belgium,home,whoscored,0,0,49,11,5,612,83,0,0,8,7,37,,
2022_12_01_Croatia_vs_Belgium,2022-12-01,Belgium,Croatia,away,whoscored,0,0,51,16,8,638,85,5,5,5,9,63,,
2022_12_01_Japan_vs_Spain,2022-12-01,Japan,Spain,home,fotmob,2,1,18,6,3,228,67,1,0,4,9,44,1.45,0
2022_12_01_Japan_vs_Spain,2022-12-01,Spain,Japan,away,fotmob,1,2,82,12,5,1058,92,2,1,1,6,56,1.04,2
2022_12_01_Japan_vs_Spain,2022-12-01,Japan,Spain,home,whoscored,2,1,18,6,4,243,68,1,0,9,9,41,,
2022_12_01_Japan_vs_Spain,2022-12-01,Spain,Japan,away,whoscored,1,2,82,12,10,1104,90,2,1,2,6,59,,
2022_12_02_Cameroon_vs_Brazil,2022-12-02,Cameroon,Brazil,home,fotmob,1,0,35,7,3,299,77,2,1,7,14,55,0.47,3
2022_12_02_Cameroon_vs_Brazil,2022-12-02,Brazil,Cameroon,away,fotmob,0,1,65,21,7,541,88,4,4,2,14,45,2.48,11
2022_12_02_Cameroon_vs_Brazil,2022-12-02,Cameroon,Brazil,home,whoscored,1,0,35,7,4,325,76,2,1,11,14,54,,
2022_12_02_Cameroon_vs_Brazil,2022-12-02,Brazil,Cameroon,away,whoscored,0,1,65,21,10,593,85,4,4,3,14,46,,
2022_12_02_Ghana_vs_Uruguay,2022-12-02,Ghana,Uruguay,home,fotmob,0,2,50,10,4,432,80,1,1,4,18,49,1.61,5
2022_12_02_Ghana_vs_Uruguay,2022-12-02,Uruguay,Ghana,away,fotmob,2,0,50,12,7,433,77,3,2,4,11,51,1.81,2
2022_12_02_Ghana_vs_Uruguay,2022-12-02,Ghana,Uruguay,home,whoscored,0,2,51,10,7,490,76,1,1,5,18,53,,
2022_12_02_Ghana_vs_Uruguay,2022-12-02,Uruguay,Ghana,away,whoscored,2,0,49,12,7,473,77,3,2,7,11,47,,
2022_12_02_Serbia_vs_Switzerland,2022-12-02,Serbia,Switzerland,home,fotmob,2,3,54,12,4,466,78,1,1,4,18,52,1.32,2
2022_12_02_Serbia_vs_Switzerland,2022-12-02,Switzerland,Serbia,away,fotmob,3,2,46,14,7,415,77,6,4,2,14,48,2.8,0
2022_12_02_Serbia_vs_Switzerland,2022-12-02,Serbia,Switzerland,home,whoscored,2,3,54,12,6,519,77,1,1,7,18,52,,
2022_12_02_Serbia_vs_Switzerland,2022-12-02,Switzerland,Serbia,away,whoscored,3,2,46,14,10,451,76,6,4,4,14,48,,
2022_12_02_South_Korea_vs_Portugal,2022-12-02,South Korea,Portugal,home,fotmob,2,1,38,13,6,357,79,2,0,5,9,52,1.71,5
2022_12_02_South_Korea_vs_Portugal,2022-12-02,Portugal,South Korea,away,fotmob,1,2,62,13,6,574,88,2,1,4,10,48,1.29,4
