match_id,date,team,opponent,side,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg
2026_06_25_Scotland_vs_Brazil,2026-06-24,Scotland,Brazil,home,0,3,46,14,8,546,90,1,1,11,10,37,1.11
2026_06_25_Scotland_vs_Brazil,2026-06-24,Brazil,Scotland,away,3,0,54,21,14,632,93,6,3,8,11,63,3.96
2026_06_25_South_Africa_vs_South_Korea,2026-06-25,South Africa,South Korea,home,1,0,31,13,8,358,80,1,1,4,7,45,1.39
2026_06_25_South_Africa_vs_South_Korea,2026-06-25,South Korea,South Africa,away,0,1,69,8,4,781,87,1,1,7,9,55,0.73
2026_06_26_Japan_vs_Sweden,2026-06-26,Japan,Sweden,home,1,1,52,8,5,474,83,2,1,7,20,60,1.1
2026_06_26_Japan_vs_Sweden,2026-06-26,Sweden,Japan,away,1,1,48,11,8,437,77,1,1,4,11,40,0.69
2026_06_26_Norway_vs_France,2026-06-26,Norway,France,home,1,4,44,10,7,457,80,4,3,8,9,45,1.96
2026_06_26_Norway_vs_France,2026-06-26,France,Norway,away,4,1,56,18,12,582,86,1,0,6,11,55,1.25
2026_06_26_Paraguay_vs_Australia,2026-06-26,Paraguay,Australia,home,0,0,44,7,3,461,76,0,0,8,9,47,0.38
2026_06_26_Paraguay_vs_Australia,2026-06-26,Australia,Paraguay,away,0,0,56,12,8,582,80,0,0,3,6,53,0.6
2026_06_26_Senegal_vs_Iraq,2026-06-26,Senegal,Iraq,home,5,0,69,28,17,644,85,5,3,5,10,53,3.44
2026_06_26_Senegal_vs_Iraq,2026-06-26,Iraq,Senegal,away,0,5,31,6,5,290,69,0,0,11,11,47,0.26
2026_06_26_Tunisia_vs_Netherlands,2026-06-26,Tunisia,Netherlands,home,1,3,29,11,6,284,75,3,2,10,11,46,0.98
2026_06_26_Tunisia_vs_Netherlands,2026-06-26,Netherlands,Tunisia,away,3,1,71,20,12,699,90,2,1,4,10,54,1.54
2026_06_26_Turkiye_vs_USA,2026-06-26,Turkiye,USA,home,3,2,48,9,5,476,76,3,1,10,13,63,2.53
2026_06_26_Turkiye_vs_USA,2026-06-26,USA,Turkiye,away,2,3,52,18,12,526,83,4,3,2,13,37,1.89
